"fID"	"treat"	"camera_id"	"handcounted"	"handcount"	"test_case"	"visually_recheck"	"setDate.x"	"flipDate.x"	"days.x"	"repl.x"	"NstartF.x"	"NstartM.x"	"box.x"	"ccoord.x"	"rcoord.x"	"deadF.x"	"deadM "	"cens.x"	"carriedF.x"	"carriedM.x"	"NA"	"id.x"	"setDate.y"	"flipDate.y"	"days.y"	"repl.y"	"NstartF.y"	"NstartM.y"	"box.y"	"ccoord.y"	"rcoord.y"	"deadF.y"	"deadM"	"cens.y"	"carriedF.y"	"carriedM.y"	"censSex"	"notes"	"flipper"	"time"	"id.y"
"S45D134_b"	"LY"	"IMG_3052.JPG"	"yes"	554	NA	NA	2016-03-15	2016-04-12	28	"b"	19	6	3	4	4	0	0	0	0	0	NA	"S45D134_b_LY"	"3/15/16"	2016-04-12	28	"b"	19	6	3	4	4	0	0	0	0	0	""	""	""	""	"S45D134_b_LY"
"S27D79_a"	"LY"	"IMG_3053.JPG"	NA	NA	NA	NA	2016-03-11	2016-04-12	32	"a"	17	6	3	4	1	0	0	0	0	0	NA	"S27D79_a_LY"	"3/11/16"	2016-04-12	32	"a"	17	6	3	4	1	0	0	0	0	0	""	""	""	""	"S27D79_a_LY"
"S31D91_b"	"LY"	"IMG_3054.JPG"	NA	NA	NA	NA	2016-03-24	2016-04-12	19	"b"	21	6	3	7	1	0	0	0	0	0	NA	"S31D91_b_LY"	"3/24/16"	2016-04-12	19	"b"	21	6	3	7	1	0	0	0	0	0	""	""	""	""	"S31D91_b_LY"
"S27D80_b"	"LY"	"IMG_3055.JPG"	NA	NA	NA	NA	2016-03-21	2016-04-12	22	"b"	24	6	3	7	2	0	0	0	0	0	NA	"S27D80_b_LY"	"3/21/16"	2016-04-12	22	"b"	24	6	3	7	2	0	0	0	0	0	""	""	""	""	"S27D80_b_LY"
"S33D99_a"	"LY"	"IMG_3056.JPG"	"yes"	978	NA	NA	2016-03-11	2016-04-12	32	"a"	24	6	3	7	4	0	0	0	0	0	NA	"S33D99_a_LY"	"3/11/16"	2016-04-12	32	"a"	24	6	3	7	4	0	0	0	0	0	""	""	""	""	"S33D99_a_LY"
"S31D92_a"	"LY"	"IMG_3057.JPG"	NA	NA	NA	NA	2016-03-08	2016-04-12	35	"a"	21	6	3	7	3	0	0	0	0	0	NA	"S31D92_a_LY"	"3/8/16"	2016-04-12	35	"a"	21	6	3	7	3	0	0	0	0	0	""	""	""	""	"S31D92_a_LY"
"S41D121_a"	"LY"	"IMG_3058.JPG"	NA	NA	NA	NA	2016-03-21	2016-04-12	22	"a"	22	6	3	4	6	0	0	0	0	0	NA	"S41D121_a_LY"	"3/21/16"	2016-04-12	22	"a"	22	6	3	4	6	0	0	0	0	0	""	""	""	""	"S41D121_a_LY"
"S7D19_b"	"LY"	"IMG_3059.JPG"	NA	NA	NA	NA	2016-03-05	2016-04-12	38	"b"	17	6	3	4	5	0	0	0	0	0	NA	"S7D19_b_LY"	"3/5/16"	2016-04-12	38	"b"	17	6	3	4	5	0	0	0	0	0	""	""	""	""	"S7D19_b_LY"
"S23D68_b"	"LY"	"IMG_3060.JPG"	NA	NA	NA	NA	2016-03-15	2016-04-12	28	"b"	22	6	3	4	2	0	0	0	0	0	NA	"S23D68_b_LY"	"3/15/16"	2016-04-12	28	"b"	22	6	3	4	2	0	0	0	0	0	""	""	""	""	"S23D68_b_LY"
"S23D68_a"	"LY"	"IMG_3061.JPG"	NA	NA	NA	NA	2016-03-08	2016-04-12	35	"a"	24	6	3	10	4	0	0	0	0	0	NA	"S23D68_a_LY"	"3/8/16"	2016-04-12	35	"a"	24	6	3	10	4	0	0	0	0	0	""	""	""	""	"S23D68_a_LY"
"S7D21_a"	"LY"	"IMG_3062.JPG"	NA	NA	NA	NA	2016-02-29	2016-04-12	43	"a"	24	6	3	10	3	1	0	0	0	0	NA	"S7D21_a_LY"	"2/29/16"	2016-04-12	43	"a"	24	6	3	10	3	1	0	0	0	0	""	""	""	""	"S7D21_a_LY"
"S27D80_a"	"LY"	"IMG_3063.JPG"	NA	NA	NA	NA	2016-03-08	2016-04-12	35	"a"	15	6	3	10	2	0	0	0	0	0	NA	"S27D80_a_LY"	"3/8/16"	2016-04-12	35	"a"	15	6	3	10	2	0	0	0	0	0	""	""	""	""	"S27D80_a_LY"
