"setDate"	"flipDate"	"days"	"age"	"NewAge"	"fID"	"id"	"sireid"	"damid"	"repl"	"treat"	"NstartF"	"status"
"2016-03-08"	"2016-04-12"	35	35	37	"S11D31_a"	"S11D31_a_HS"	"S11"	"D31"	"a"	"HS"	19	2
"2016-03-08"	"2016-04-15"	38	38	40	"S11D31_a"	"S11D31_a_HS"	"S11"	"D31"	"a"	"HS"	19	2
"2016-03-08"	"2016-04-22"	45	45	47	"S11D31_a"	"S11D31_a_HS"	"S11"	"D31"	"a"	"HS"	19	2
"2016-03-08"	"2016-04-25"	48	48	50	"S11D31_a"	"S11D31_a_HS"	"S11"	"D31"	"a"	"HS"	19	2
"2016-03-08"	"2016-04-25"	48	48	50	"S11D31_a"	"S11D31_a_HS"	"S11"	"D31"	"a"	"HS"	19	2
"2016-03-08"	"2016-04-29"	52	52	54	"S11D31_a"	"S11D31_a_HS"	"S11"	"D31"	"a"	"HS"	19	2
"2016-03-08"	"2016-05-06"	59	59	61	"S11D31_a"	"S11D31_a_HS"	"S11"	"D31"	"a"	"HS"	19	2
"2016-03-08"	"2016-05-13"	66	66	68	"S11D31_a"	"S11D31_a_HS"	"S11"	"D31"	"a"	"HS"	19	2
"2016-03-08"	"2016-05-13"	66	66	68	"S11D31_a"	"S11D31_a_HS"	"S11"	"D31"	"a"	"HS"	19	2
"2016-03-08"	"2016-05-13"	66	66	68	"S11D31_a"	"S11D31_a_HS"	"S11"	"D31"	"a"	"HS"	19	2
"2016-03-08"	"2016-05-17"	70	70	72	"S11D31_a"	"S11D31_a_HS"	"S11"	"D31"	"a"	"HS"	19	2
"2016-03-08"	"2016-05-20"	73	73	75	"S11D31_a"	"S11D31_a_HS"	"S11"	"D31"	"a"	"HS"	19	2
"2016-03-08"	"2016-05-20"	73	73	75	"S11D31_a"	"S11D31_a_HS"	"S11"	"D31"	"a"	"HS"	19	2
"2016-03-08"	"2016-05-23"	76	76	78	"S11D31_a"	"S11D31_a_HS"	"S11"	"D31"	"a"	"HS"	19	2
"2016-03-08"	"2016-05-24"	77	77	79	"S11D31_a"	"S11D31_a_HS"	"S11"	"D31"	"a"	"HS"	19	2
"2016-03-08"	"2016-05-24"	77	77	79	"S11D31_a"	"S11D31_a_HS"	"S11"	"D31"	"a"	"HS"	19	2
"2016-03-08"	"2016-05-24"	77	77	79	"S11D31_a"	"S11D31_a_HS"	"S11"	"D31"	"a"	"HS"	19	2
"2016-03-08"	"2016-05-27"	80	80	82	"S11D31_a"	"S11D31_a_HS"	"S11"	"D31"	"a"	"HS"	19	2
"2016-03-11"	"2016-04-22"	42	42	44	"S11D31_a"	"S11D31_a_LY"	"S11"	"D31"	"a"	"LY"	15	2
"2016-03-11"	"2016-04-25"	45	45	47	"S11D31_a"	"S11D31_a_LY"	"S11"	"D31"	"a"	"LY"	15	2
"2016-03-11"	"2016-05-09"	59	59	61	"S11D31_a"	"S11D31_a_LY"	"S11"	"D31"	"a"	"LY"	15	2
"2016-03-11"	"2016-05-23"	73	73	75	"S11D31_a"	"S11D31_a_LY"	"S11"	"D31"	"a"	"LY"	15	2
"2016-03-11"	"2016-05-24"	74	74	76	"S11D31_a"	"S11D31_a_LY"	"S11"	"D31"	"a"	"LY"	15	2
"2016-03-11"	"2016-05-27"	77	77	79	"S11D31_a"	"S11D31_a_LY"	"S11"	"D31"	"a"	"LY"	15	2
"2016-03-11"	"2016-05-27"	77	77	79	"S11D31_a"	"S11D31_a_LY"	"S11"	"D31"	"a"	"LY"	15	2
"2016-03-11"	"2016-05-30"	80	80	82	"S11D31_a"	"S11D31_a_LY"	"S11"	"D31"	"a"	"LY"	15	2
"2016-03-11"	"2016-05-30"	80	80	82	"S11D31_a"	"S11D31_a_LY"	"S11"	"D31"	"a"	"LY"	15	2
"2016-03-11"	"2016-05-30"	80	80	82	"S11D31_a"	"S11D31_a_LY"	"S11"	"D31"	"a"	"LY"	15	2
"2016-03-11"	"2016-05-30"	80	80	82	"S11D31_a"	"S11D31_a_LY"	"S11"	"D31"	"a"	"LY"	15	2
