"setDate"	"flipDate"	"age"	"NewAge"	"fID"	"id"	"sireid"	"damid"	"repl"	"treat"	"NstartM"	"status"
"2016-03-08"	"2016-04-18"	41	43	"S11D31_a"	"S11D31_a_HS"	"S11"	"D31"	"a"	"HS"	6	2
"2016-03-08"	"2016-05-02"	55	57	"S11D31_a"	"S11D31_a_HS"	"S11"	"D31"	"a"	"HS"	6	2
"2016-03-08"	"2016-05-09"	62	64	"S11D31_a"	"S11D31_a_HS"	"S11"	"D31"	"a"	"HS"	6	2
"2016-03-08"	"2016-05-10"	63	65	"S11D31_a"	"S11D31_a_HS"	"S11"	"D31"	"a"	"HS"	6	2
"2016-03-08"	"2016-05-27"	80	82	"S11D31_a"	"S11D31_a_HS"	"S11"	"D31"	"a"	"HS"	6	2
"2016-03-08"	"2016-06-03"	87	89	"S11D31_a"	"S11D31_a_HS"	"S11"	"D31"	"a"	"HS"	6	2
"2016-03-11"	"2016-05-16"	66	68	"S11D31_a"	"S11D31_a_LY"	"S11"	"D31"	"a"	"LY"	6	2
"2016-03-11"	"2016-05-16"	66	68	"S11D31_a"	"S11D31_a_LY"	"S11"	"D31"	"a"	"LY"	6	2
"2016-03-11"	"2016-05-20"	70	72	"S11D31_a"	"S11D31_a_LY"	"S11"	"D31"	"a"	"LY"	6	2
"2016-03-11"	"2016-05-20"	70	72	"S11D31_a"	"S11D31_a_LY"	"S11"	"D31"	"a"	"LY"	6	2
"2016-03-11"	"2016-05-23"	73	75	"S11D31_a"	"S11D31_a_LY"	"S11"	"D31"	"a"	"LY"	6	2
"2016-03-11"	"2016-05-30"	80	82	"S11D31_a"	"S11D31_a_LY"	"S11"	"D31"	"a"	"LY"	6	2
"2016-03-31"	"2016-05-13"	43	45	"S11D31_a"	"S11D31_a_STD"	"S11"	"D31"	"a"	"STD"	6	2
"2016-03-31"	"2016-05-16"	46	48	"S11D31_a"	"S11D31_a_STD"	"S11"	"D31"	"a"	"STD"	6	2
"2016-03-31"	"2016-05-30"	60	62	"S11D31_a"	"S11D31_a_STD"	"S11"	"D31"	"a"	"STD"	6	2
"2016-03-31"	"2016-05-30"	60	62	"S11D31_a"	"S11D31_a_STD"	"S11"	"D31"	"a"	"STD"	6	2
"2016-03-31"	"2016-05-30"	60	62	"S11D31_a"	"S11D31_a_STD"	"S11"	"D31"	"a"	"STD"	6	2
"2016-03-31"	"2016-06-06"	67	69	"S11D31_a"	"S11D31_a_STD"	"S11"	"D31"	"a"	"STD"	6	2
"2016-02-29"	"2016-04-04"	35	37	"S11D32_a"	"S11D32_a_STD"	"S11"	"D32"	"a"	"STD"	6	2
"2016-02-29"	"2016-04-15"	46	48	"S11D32_a"	"S11D32_a_STD"	"S11"	"D32"	"a"	"STD"	6	2
"2016-02-29"	"2016-04-25"	56	58	"S11D32_a"	"S11D32_a_STD"	"S11"	"D32"	"a"	"STD"	6	2
"2016-02-29"	"2016-05-02"	63	65	"S11D32_a"	"S11D32_a_STD"	"S11"	"D32"	"a"	"STD"	6	2
"2016-02-29"	"2016-05-03"	64	66	"S11D32_a"	"S11D32_a_STD"	"S11"	"D32"	"a"	"STD"	6	2
"2016-02-29"	"2016-05-23"	84	86	"S11D32_a"	"S11D32_a_STD"	"S11"	"D32"	"a"	"STD"	6	2
"2016-03-05"	"2016-04-25"	51	53	"S11D32_b"	"S11D32_b_STD"	"S11"	"D32"	"b"	"STD"	6	2
"2016-03-05"	"2016-05-02"	58	60	"S11D32_b"	"S11D32_b_STD"	"S11"	"D32"	"b"	"STD"	6	2
"2016-03-05"	"2016-05-09"	65	67	"S11D32_b"	"S11D32_b_STD"	"S11"	"D32"	"b"	"STD"	6	2
"2016-03-05"	"2016-05-09"	65	67	"S11D32_b"	"S11D32_b_STD"	"S11"	"D32"	"b"	"STD"	6	2
"2016-03-05"	"2016-05-13"	69	71	"S11D32_b"	"S11D32_b_STD"	"S11"	"D32"	"b"	"STD"	6	2
"2016-03-05"	"2016-03-14"	9	11	"S11D33_a"	"S11D33_a_HS"	"S11"	"D33"	"a"	"HS"	6	2
"2016-03-05"	"2016-04-15"	41	43	"S11D33_a"	"S11D33_a_HS"	"S11"	"D33"	"a"	"HS"	6	2
"2016-03-05"	"2016-04-22"	48	50	"S11D33_a"	"S11D33_a_HS"	"S11"	"D33"	"a"	"HS"	6	2
"2016-03-05"	"2016-05-09"	65	67	"S11D33_a"	"S11D33_a_HS"	"S11"	"D33"	"a"	"HS"	6	2
