Sire	Dam	Diet	Nreplicates	NDamsPerSire
S1	D1	C	1	3
S1	D1	DR	2	3
S1	D1	HS	2	3
S1	D2	C	2	3
S1	D2	HS	2	3
S1	D2	DR	2	3
S1	D3	C	2	3
S1	D3	HS	2	3
S1	D3	DR	2	3
S11	D31	C	1	3
S11	D31	DR	1	3
S11	D31	HS	1	3
S11	D32	DR	0	3
S11	D32	C	2	3
S11	D32	HS	0	3
S11	D33	HS	1	3
S11	D33	DR	2	3
S11	D33	C	1	3
S13	D37	C	2	3
S13	D37	HS	2	3
S13	D37	DR	2	3
S13	D38	C	2	3
S13	D38	DR	2	3
S13	D38	HS	0	3
S13	D39	DR	2	3
S13	D39	HS	2	3
S13	D39	C	2	3
S17	D49	DR	2	3
S17	D49	HS	2	3
S17	D49	C	2	3
S17	D50	HS	2	3
S17	D50	C	2	3
S17	D50	DR	2	3
S17	D51	C	2	3
S17	D51	HS	1	3
S17	D51	DR	1	3
S19	D55	DR	2	2
S19	D55	C	2	2
S19	D55	HS	2	2
S19	D56	DR	2	2
S19	D56	HS	2	2
S19	D56	C	2	2
S21	D61	HS	1	3
S21	D61	C	0	3
S21	D61	DR	0	3
S21	D62	HS	0	3
S21	D62	C	1	3
S21	D62	DR	0	3
S21	D63	C	2	3
S21	D63	DR	1	3
S21	D63	HS	1	3
S23	D67	DR	1	3
S23	D67	C	2	3
S23	D67	HS	1	3
S23	D68	HS	2	3
S23	D68	DR	2	3
S23	D68	C	2	3
S23	D69	C	2	3
S23	D69	HS	2	3
S23	D69	DR	2	3
S25	D73	C	2	2
S25	D73	DR	1	2
S25	D73	HS	1	2
S25	D75	DR	2	2
S25	D75	HS	2	2
S25	D75	C	1	2
S27	D79	DR	2	3
S27	D79	HS	2	3
S27	D79	C	2	3
S27	D80	HS	2	3
S27	D80	C	2	3
S27	D80	DR	2	3
S27	D81	C	2	3
S27	D81	HS	2	3
S27	D81	DR	2	3
S29	D85	DR	2	3
S29	D85	C	2	3
S29	D85	HS	2	3
S29	D86	DR	1	3
S29	D86	HS	0	3
S29	D86	C	1	3
S29	D87	HS	1	3
S29	D87	C	0	3
S29	D87	DR	0	3
S3	D7	HS	1	3
S3	D7	C	2	3
S3	D7	DR	2	3
S3	D8	C	1	3
S3	D8	DR	0	3
S3	D8	HS	0	3
S3	D9	DR	2	3
S3	D9	C	2	3
S3	D9	HS	2	3
S31	D91	HS	2	3
S31	D91	DR	2	3
S31	D91	C	2	3
S31	D92	C	2	3
S31	D92	HS	2	3
S31	D92	DR	2	3
S31	D93	C	2	3
S31	D93	DR	2	3
S31	D93	HS	2	3
S33	D97	DR	2	3
S33	D97	C	2	3
S33	D97	HS	1	3
S33	D98	DR	2	3
S33	D98	C	2	3
S33	D98	HS	2	3
S33	D99	C	2	3
S33	D99	DR	2	3
S33	D99	HS	2	3
S35	D103	HS	2	2
S35	D103	C	1	2
S35	D103	DR	2	2
S35	D104	HS	0	2
S35	D104	DR	0	2
S35	D104	C	1	2
S37	D109	DR	2	3
S37	D109	HS	2	3
S37	D109	C	2	3
S37	D110	C	1	3
S37	D110	DR	1	3
S37	D110	HS	1	3
S37	D111	C	1	3
S37	D111	HS	1	3
S37	D111	DR	1	3
