"id"	"egg_total"	"repl"	"treat"	"sireid"	"damid"
"S11D31_a_HS"	251.252700428392	"a"	"HS"	"S11"	"D31"
"S11D31_a_LY"	407.374657678373	"a"	"LY"	"S11"	"D31"
"S11D31_a_STD"	430.114892449636	"a"	"STD"	"S11"	"D31"
"S11D32_a_STD"	364.210831785693	"a"	"STD"	"S11"	"D32"
"S11D32_b_STD"	449.843321752665	"b"	"STD"	"S11"	"D32"
"S11D33_a_HS"	201.296681683976	"a"	"HS"	"S11"	"D33"
"S11D33_a_LY"	426.51110464091	"a"	"LY"	"S11"	"D33"
"S11D33_a_STD"	353.272960110648	"a"	"STD"	"S11"	"D33"
"S11D33_b_LY"	296.991584656492	"b"	"LY"	"S11"	"D33"
"S13D37_a_HS"	176.589725961039	"a"	"HS"	"S13"	"D37"
"S13D37_a_LY"	222.749967811327	"a"	"LY"	"S13"	"D37"
"S13D37_a_STD"	254.857849443889	"a"	"STD"	"S13"	"D37"
"S13D37_b_HS"	168.518931444456	"b"	"HS"	"S13"	"D37"
"S13D37_b_LY"	252.796305337112	"b"	"LY"	"S13"	"D37"
"S13D37_b_STD"	253.807317934068	"b"	"STD"	"S13"	"D37"
"S13D38_a_LY"	232.804519756096	"a"	"LY"	"S13"	"D38"
"S13D38_a_STD"	254.383543397313	"a"	"STD"	"S13"	"D38"
"S13D38_b_LY"	273.577357958946	"b"	"LY"	"S13"	"D38"
"S13D38_b_STD"	253.746398009149	"b"	"STD"	"S13"	"D38"
"S13D39_a_HS"	184.698436452505	"a"	"HS"	"S13"	"D39"
"S13D39_a_LY"	253.884548475006	"a"	"LY"	"S13"	"D39"
"S13D39_a_STD"	368.378826643162	"a"	"STD"	"S13"	"D39"
"S13D39_b_HS"	161.995115172187	"b"	"HS"	"S13"	"D39"
"S13D39_b_LY"	394.058333572263	"b"	"LY"	"S13"	"D39"
"S13D39_b_STD"	198.784686888465	"b"	"STD"	"S13"	"D39"
"S17D49_a_HS"	220.8652770351	"a"	"HS"	"S17"	"D49"
"S17D49_a_LY"	271.842616949117	"a"	"LY"	"S17"	"D49"
"S17D49_a_STD"	329.438052774437	"a"	"STD"	"S17"	"D49"
"S17D49_b_HS"	211.843054152903	"b"	"HS"	"S17"	"D49"
"S17D49_b_LY"	394.146378395037	"b"	"LY"	"S17"	"D49"
"S17D49_b_STD"	367.869943353853	"b"	"STD"	"S17"	"D49"
"S17D50_a_HS"	204.901376868714	"a"	"HS"	"S17"	"D50"
"S17D50_a_LY"	328.80828848545	"a"	"LY"	"S17"	"D50"
"S17D50_a_STD"	317.392216996913	"a"	"STD"	"S17"	"D50"
"S17D50_b_HS"	260.364981037187	"b"	"HS"	"S17"	"D50"
"S17D50_b_LY"	228.752057734053	"b"	"LY"	"S17"	"D50"
"S17D50_b_STD"	352.769539719351	"b"	"STD"	"S17"	"D50"
"S17D51_a_HS"	245.939239693699	"a"	"HS"	"S17"	"D51"
"S17D51_a_LY"	241.720370456054	"a"	"LY"	"S17"	"D51"
"S17D51_a_STD"	302.671771284637	"a"	"STD"	"S17"	"D51"
"S17D51_b_STD"	256.022758678855	"b"	"STD"	"S17"	"D51"
"S19D55_a_HS"	193.718153969438	"a"	"HS"	"S19"	"D55"
"S19D55_a_LY"	237.536287414017	"a"	"LY"	"S19"	"D55"
"S19D55_a_STD"	325.850275753127	"a"	"STD"	"S19"	"D55"
"S19D55_b_HS"	207.826432696533	"b"	"HS"	"S19"	"D55"
