prop_data,prop_train,lower,r,MSD
1,0.1,30,0.5012359663002635,0.2299357345827599
1,0.1,35,0.6818802174639306,0.16748180789002434
1,0.1,40,0.7684877010786011,0.1288361721083168
1,0.1,45,0.7919501046673572,0.11800904167056876
1,0.1,50,0.7786745922281446,0.12518638787433248
1,0.1,55,0.7442322884843112,0.14227087836365307
1,0.1,60,0.6977931221485351,0.16379607518594097
1,0.1,65,0.6443445188845842,0.18680373236839806
1,0.1,70,0.5864393209729954,0.20946984767989849
1,0.1,75,0.5305088675884352,0.228746816238803
1,0.1,80,0.4782934953160389,0.24386304961540234
1,0.2,30,0.5116301818969027,0.21248889851421673
1,0.2,35,0.6830552461892733,0.15444925410087834
1,0.2,40,0.7683655601176441,0.11850192143432405
1,0.2,45,0.7916281139449307,0.1083672090944856
1,0.2,50,0.7784148314294476,0.11491715151471091
1,0.2,55,0.7440447389942633,0.1307876311059803
1,0.2,60,0.6978406285461418,0.1506770836179974
1,0.2,65,0.6449134164510792,0.17171503476633157
1,0.2,70,0.5885021951323353,0.192115622550657
1,0.2,75,0.5354606135117836,0.20927576985017293
1,0.2,80,0.4877913646037425,0.22269069584174506
1,0.30000000000000004,30,0.5116215384255488,0.20728123455953246
1,0.30000000000000004,35,0.6827331471595437,0.150534951262847
1,0.30000000000000004,40,0.7679582647368736,0.11544578132539234
1,0.30000000000000004,45,0.7912383726851998,0.10550163086962139
1,0.30000000000000004,50,0.7781047815582071,0.11181929703183825
1,0.30000000000000004,55,0.7437658788493897,0.12718960666121107
1,0.30000000000000004,60,0.697632470653378,0.14649494366901597
1,0.30000000000000004,65,0.6448038125366901,0.16689403629480828
1,0.30000000000000004,70,0.5884740347500299,0.1866339261975033
1,0.30000000000000004,75,0.5356063285113871,0.20322202017028065
1,0.30000000000000004,80,0.4880531859713878,0.21629562301070843
1,0.4,30,0.5113716300089609,0.2044997790885774
1,0.4,35,0.6822374913982007,0.14843812527550704
1,0.4,40,0.7674646021190896,0.1138295502396466
1,0.4,45,0.7907447609488354,0.10394207151308725
1,0.4,50,0.7776460105447993,0.11014005779248745
1,0.4,55,0.7433282759224432,0.12522496455447946
1,0.4,60,0.6973479506043302,0.14419502708665133
1,0.4,65,0.6447022400067125,0.164238686785421
1,0.4,70,0.5885694632940145,0.1836873619129208
1,0.4,75,0.5357202433440437,0.1999466905929029
1,0.4,80,0.4881296363125195,0.21293142408528162
1,0.5,30,0.5110702411826484,0.2029101257956606
1,0.5,35,0.6816003700326785,0.1472024256715723
1,0.5,40,0.7666150749860641,0.11286615819850206
1,0.5,45,0.7900308453333146,0.10306392379216825
1,0.5,50,0.776994551511544,0.1091426770686921
1,0.5,55,0.7428105585292086,0.1240468646857954
1,0.5,60,0.6969454167468366,0.14283466533892925
1,0.5,65,0.6445369369028511,0.1627237576100428
1,0.5,70,0.5885503660832133,0.1819758728607783
1,0.5,75,0.5358166674866447,0.19810258705144965
1,0.5,80,0.488490807380528,0.21095405194075922
1,0.6,30,0.5106067124585708,0.20186805103470476
1,0.6,35,0.6805707711927782,0.1464375382876461
1,0.6,40,0.7655873029815932,0.11227279410845467
1,0.6,45,0.7891073983322967,0.10247938585659583
1,0.6,50,0.7761229193096627,0.10848911246544526
1,0.6,55,0.7420578103717909,0.12332928102788776
1,0.6,60,0.6964024129189398,0.14199283594964734
1,0.6,65,0.6440916996859288,0.1617222541539705
1,0.6,70,0.5885322915646822,0.18084251138840865
1,0.6,75,0.5361136739157252,0.1969442319049122
1,0.6,80,0.4888623008761926,0.20975857721941213
1,0.7000000000000001,30,0.509909340474876,0.20113975695411665
1,0.7000000000000001,35,0.6789082848725264,0.14583781209523855
1,0.7000000000000001,40,0.7638368163503709,0.11183222097718284
1,0.7000000000000001,45,0.7874387057683446,0.1020468557149881
1,0.7000000000000001,50,0.7746063738278774,0.10806392085209904
1,0.7000000000000001,55,0.7407631309539995,0.12277056477176584
1,0.7000000000000001,60,0.6954641940035408,0.14135258658221536
1,0.7000000000000001,65,0.6436857042096216,0.1609568146233205
1,0.7000000000000001,70,0.5886395345882923,0.17992020434167663
1,0.7000000000000001,75,0.5364569244034547,0.19602099232275286
1,0.7000000000000001,80,0.4896594421805271,0.2088493237015635
1,0.8,30,0.5086176637055094,0.20064482499793632
1,0.8,35,0.6761883129248031,0.14543389633902434
1,0.8,40,0.7607291152694712,0.11148678499334765
1,0.8,45,0.7848327068711942,0.10177428755441703
1,0.8,50,0.7722905094977678,0.10771398785485838
1,0.8,55,0.7386947857311692,0.12239516664426026
1,0.8,60,0.6938367412054183,0.14085386351083173
1,0.8,65,0.6428858915892848,0.16042009786127115
1,0.8,70,0.5883232406824294,0.17927699771232694
1,0.8,75,0.5371630603078852,0.19539498464286437
1,0.8,80,0.49078811264195604,0.20821084660470152
1,0.9,30,0.5049811742889055,0.2000205834249638
1,0.9,35,0.6688432746541243,0.14503161768440023
1,0.9,40,0.7528357652309688,0.11123485234292253
1,0.9,45,0.778074914946105,0.10149564190569005
1,0.9,50,0.7665514757907773,0.10741183469265383
1,0.9,55,0.733613551095263,0.12201266686468033
1,0.9,60,0.689886844982126,0.1404221630657773
1,0.9,65,0.6402568677567313,0.15993367465603062
1,0.9,70,0.5880516447347217,0.17877762529662025
1,0.9,75,0.5386838053125212,0.19486764729282316
1,0.9,80,0.49308403289713326,0.20759373424395736
1,1,30,NA,NaN
1,1,35,NA,NaN
1,1,40,NA,NaN
1,1,45,NA,NaN
1,1,50,NA,NaN
1,1,55,NA,NaN
1,1,60,NA,NaN
1,1,65,NA,NaN
1,1,70,NA,NaN
1,1,75,NA,NaN
1,1,80,NA,NaN
