"id"	"repl"	"Diet"	"Median"
"S11D31"	"a"	"HS"	68
"S11D31"	"a"	"LY"	82
"S11D31"	"a"	"STD"	62
"S11D32"	"a"	"STD"	80
"S11D32"	"b"	"STD"	71
"S11D33"	"a"	"HS"	57
"S11D33"	"a"	"LY"	77.5
"S11D33"	"a"	"STD"	78
"S11D33"	"b"	"LY"	72.5
"S13D37"	"a"	"HS"	44
"S13D37"	"a"	"LY"	65
"S13D37"	"a"	"STD"	61
"S13D37"	"b"	"HS"	51
"S13D37"	"b"	"LY"	65
"S13D37"	"b"	"STD"	62
"S13D38"	"a"	"LY"	69
"S13D38"	"a"	"STD"	55
"S13D38"	"b"	"LY"	79
"S13D38"	"b"	"STD"	61
"S13D39"	"a"	"HS"	62
"S13D39"	"a"	"LY"	68
"S13D39"	"a"	"STD"	65
"S13D39"	"b"	"HS"	44.5
"S13D39"	"b"	"LY"	75
"S13D39"	"b"	"STD"	62
"S17D49"	"a"	"HS"	47
"S17D49"	"a"	"LY"	72
"S17D49"	"a"	"STD"	63
"S17D49"	"b"	"HS"	52
"S17D49"	"b"	"LY"	77
"S17D49"	"b"	"STD"	71
"S17D50"	"a"	"HS"	60
"S17D50"	"a"	"LY"	64.5
"S17D50"	"a"	"STD"	72.5
"S17D50"	"b"	"HS"	59
"S17D50"	"b"	"LY"	72
"S17D50"	"b"	"STD"	65
"S17D51"	"a"	"HS"	55.5
"S17D51"	"a"	"LY"	70
"S17D51"	"a"	"STD"	69
"S17D51"	"b"	"STD"	55
"S19D55"	"a"	"HS"	47
"S19D55"	"a"	"LY"	73
"S19D55"	"a"	"STD"	59
"S19D55"	"b"	"HS"	49
"S19D55"	"b"	"LY"	75
"S19D55"	"b"	"STD"	54
"S19D56"	"a"	"HS"	42.5
"S19D56"	"a"	"LY"	75
"S19D56"	"a"	"STD"	53
"S19D56"	"b"	"HS"	48
"S19D56"	"b"	"LY"	78
"S19D56"	"b"	"STD"	60
"S1D1"	"a"	"HS"	41
"S1D1"	"a"	"LY"	63
"S1D1"	"a"	"STD"	51
"S1D1"	"b"	"HS"	40
"S1D1"	"b"	"LY"	52
"S1D2"	"a"	"HS"	36
"S1D2"	"a"	"LY"	65
"S1D2"	"a"	"STD"	74
"S1D2"	"b"	"HS"	36
"S1D2"	"b"	"LY"	75
"S1D2"	"b"	"STD"	71
"S1D3"	"a"	"HS"	39
"S1D3"	"a"	"LY"	65.5
"S1D3"	"a"	"STD"	54
"S1D3"	"b"	"HS"	38.5
"S1D3"	"b"	"LY"	62
"S1D3"	"b"	"STD"	64
"S21D61"	"a"	"HS"	53.5
