"setDate"	"flipDate"	"fID"	"repl"	"treat"	"NstartF"	"NstartM"	"deadF"	"deadM"	"cens"	"carriedF"	"carriedM"	"lifespan_age"	"age"	"sireid"	"damid"	"id"	"NewAge"
2016-03-08	2016-03-11	"S11D31_a"	"a"	"HS"	19	6	0	0	0	0	0	3	3	"S11"	"D31"	"S11D31_a_HS"	5
2016-03-08	2016-03-14	"S11D31_a"	"a"	"HS"	19	6	0	0	0	0	0	6	6	"S11"	"D31"	"S11D31_a_HS"	8
2016-03-08	2016-03-15	"S11D31_a"	"a"	"HS"	19	6	0	0	0	0	0	7	7	"S11"	"D31"	"S11D31_a_HS"	9
2016-03-08	2016-03-18	"S11D31_a"	"a"	"HS"	19	6	0	0	0	0	0	10	10	"S11"	"D31"	"S11D31_a_HS"	12
2016-03-08	2016-03-21	"S11D31_a"	"a"	"HS"	19	6	0	0	0	0	0	13	13	"S11"	"D31"	"S11D31_a_HS"	15
2016-03-08	2016-03-22	"S11D31_a"	"a"	"HS"	19	6	0	0	0	0	0	14	14	"S11"	"D31"	"S11D31_a_HS"	16
2016-03-08	2016-03-25	"S11D31_a"	"a"	"HS"	19	6	0	0	0	0	0	17	17	"S11"	"D31"	"S11D31_a_HS"	19
2016-03-08	2016-03-28	"S11D31_a"	"a"	"HS"	19	6	0	0	0	0	0	20	20	"S11"	"D31"	"S11D31_a_HS"	22
2016-03-08	2016-03-29	"S11D31_a"	"a"	"HS"	19	6	0	0	0	0	0	21	21	"S11"	"D31"	"S11D31_a_HS"	23
2016-03-08	2016-04-01	"S11D31_a"	"a"	"HS"	19	6	0	0	0	0	0	24	24	"S11"	"D31"	"S11D31_a_HS"	26
2016-03-08	2016-04-04	"S11D31_a"	"a"	"HS"	19	6	0	0	0	0	0	27	27	"S11"	"D31"	"S11D31_a_HS"	29
2016-03-08	2016-04-05	"S11D31_a"	"a"	"HS"	19	6	0	0	0	0	0	28	28	"S11"	"D31"	"S11D31_a_HS"	30
2016-03-08	2016-04-08	"S11D31_a"	"a"	"HS"	19	6	0	0	0	0	0	31	31	"S11"	"D31"	"S11D31_a_HS"	33
2016-03-08	2016-04-11	"S11D31_a"	"a"	"HS"	19	6	0	0	0	0	0	34	34	"S11"	"D31"	"S11D31_a_HS"	36
2016-03-08	2016-04-12	"S11D31_a"	"a"	"HS"	19	6	1	0	0	0	0	35	35	"S11"	"D31"	"S11D31_a_HS"	37
2016-03-08	2016-04-15	"S11D31_a"	"a"	"HS"	19	6	1	0	0	0	0	38	38	"S11"	"D31"	"S11D31_a_HS"	40
2016-03-08	2016-04-18	"S11D31_a"	"a"	"HS"	19	6	0	1	0	0	0	41	41	"S11"	"D31"	"S11D31_a_HS"	43
2016-03-08	2016-04-19	"S11D31_a"	"a"	"HS"	19	6	0	0	0	0	0	42	42	"S11"	"D31"	"S11D31_a_HS"	44
2016-03-08	2016-04-22	"S11D31_a"	"a"	"HS"	19	6	1	0	0	0	0	45	45	"S11"	"D31"	"S11D31_a_HS"	47
2016-03-08	2016-04-25	"S11D31_a"	"a"	"HS"	19	6	2	0	0	0	0	48	48	"S11"	"D31"	"S11D31_a_HS"	50
2016-03-08	2016-04-26	"S11D31_a"	"a"	"HS"	19	6	0	0	0	0	0	49	49	"S11"	"D31"	"S11D31_a_HS"	51
2016-03-08	2016-04-29	"S11D31_a"	"a"	"HS"	19	6	1	0	0	0	0	52	52	"S11"	"D31"	"S11D31_a_HS"	54
2016-03-08	2016-05-02	"S11D31_a"	"a"	"HS"	19	6	0	1	0	0	0	55	55	"S11"	"D31"	"S11D31_a_HS"	57
2016-03-08	2016-05-03	"S11D31_a"	"a"	"HS"	19	6	0	0	0	0	0	56	56	"S11"	"D31"	"S11D31_a_HS"	58
2016-03-08	2016-05-06	"S11D31_a"	"a"	"HS"	19	6	1	0	0	0	0	59	59	"S11"	"D31"	"S11D31_a_HS"	61
2016-03-08	2016-05-09	"S11D31_a"	"a"	"HS"	19	6	0	1	0	0	0	62	62	"S11"	"D31"	"S11D31_a_HS"	64
2016-03-08	2016-05-10	"S11D31_a"	"a"	"HS"	19	6	0	1	0	0	0	63	63	"S11"	"D31"	"S11D31_a_HS"	65
2016-03-08	2016-05-13	"S11D31_a"	"a"	"HS"	19	6	3	0	0	0	0	66	66	"S11"	"D31"	"S11D31_a_HS"	68
2016-03-08	2016-05-16	"S11D31_a"	"a"	"HS"	19	6	0	0	0	0	0	69	69	"S11"	"D31"	"S11D31_a_HS"	71
2016-03-08	2016-05-17	"S11D31_a"	"a"	"HS"	19	6	1	0	0	0	0	70	70	"S11"	"D31"	"S11D31_a_HS"	72
2016-03-08	2016-05-20	"S11D31_a"	"a"	"HS"	19	6	2	0	0	1	0	73	73	"S11"	"D31"	"S11D31_a_HS"	75
2016-03-08	2016-05-23	"S11D31_a"	"a"	"HS"	19	6	2	0	0	0	0	76	76	"S11"	"D31"	"S11D31_a_HS"	78
2016-03-08	2016-05-24	"S11D31_a"	"a"	"HS"	19	6	3	0	0	2	0	77	77	"S11"	"D31"	"S11D31_a_HS"	79
2016-03-08	2016-05-27	"S11D31_a"	"a"	"HS"	19	6	3	1	0	0	0	80	80	"S11"	"D31"	"S11D31_a_HS"	82
2016-03-08	2016-05-30	"S11D31_a"	"a"	"HS"	19	6	0	0	0	0	0	83	83	"S11"	"D31"	"S11D31_a_HS"	85
2016-03-08	2016-05-31	"S11D31_a"	"a"	"HS"	19	6	0	0	0	0	0	84	84	"S11"	"D31"	"S11D31_a_HS"	86
2016-03-08	2016-06-03	"S11D31_a"	"a"	"HS"	19	6	0	1	0	0	0	87	87	"S11"	"D31"	"S11D31_a_HS"	89
2016-03-11	2016-03-15	"S11D31_a"	"a"	"LY"	15	6	0	0	0	0	0	4	4	"S11"	"D31"	"S11D31_a_LY"	6
2016-03-11	2016-03-18	"S11D31_a"	"a"	"LY"	15	6	0	0	0	0	0	7	7	"S11"	"D31"	"S11D31_a_LY"	9
