setDate	flipDate	days	fID	repl	treat	NstartF	NstartM	box	ccoord	rcoord	deadF	deadM 	cens	carriedF	carriedM	censSex	notes	flipper	time				
3/8/16	3/11/16	3	S11D31_a	a	HS	19	6	2	8	2	0	0	0	0	0								
3/8/16	3/14/16	6	S11D31_a	a	HS	19	6	2	8	2	0	0	0	0	0								
3/8/16	3/15/16	7	S11D31_a	a	HS	19	6	2	8	2	0	0	0	0	0								
3/8/16	3/18/16	10	S11D31_a	a	HS	19	6	2	8	2	0	0	0	0	0								
3/8/16	3/21/16	13	S11D31_a	a	HS	19	6	2	8	2	0	0	0	0	0								
3/8/16	3/22/16	14	S11D31_a	a	HS	19	6	2	8	2	0	0	0	0	0			mr					
3/8/16	3/25/16	17	S11D31_a	a	HS	19	6	2	8	2	0	0	0	0	0			etn					
3/8/16	3/28/16	20	S11D31_a	a	HS	19	6	2	8	2	0	0	0	0	0			etn					
3/8/16	3/29/16	21	S11D31_a	a	HS	19	6	2	8	2	0	0	0	0	0			etn					
3/8/16	4/1/16	24	S11D31_a	a	HS	19	6	2	8	2	0	0	0	0	0			mr					
3/8/16	4/4/16	27	S11D31_a	a	HS	19	6	2	8	2	0	0	0	0	0			etn					
3/8/16	4/5/16	28	S11D31_a	a	HS	19	6	2	8	2	0	0	0	0	0			etn					
3/8/16	4/8/16	31	S11D31_a	a	HS	19	6	2	8	2	0	0	0	0	0			egk					
3/8/16	4/11/16	34	S11D31_a	a	HS	19	6	2	8	2	0	0	0	0	0								
3/8/16	4/12/16	35	S11D31_a	a	HS	19	6	2	8	2	1	0	0	0	0								
3/8/16	4/15/16	38	S11D31_a	a	HS	19	6	2	8	2	1	0	0	0	0								
3/8/16	4/18/16	41	S11D31_a	a	HS	19	6	2	8	2	0	1	0	0	0								
3/8/16	4/19/16	42	S11D31_a	a	HS	19	6	2	8	2	0	0	0	0	0								
3/8/16	4/22/16	45	S11D31_a	a	HS	19	6	2	8	2	1	0	0	0	0			etn					
3/8/16	4/25/16	48	S11D31_a	a	HS	19	6	2	8	2	2	0	0	0	0			etn					
3/8/16	4/26/16	49	S11D31_a	a	HS	19	6	2	8	2	0	0	0	0	0			etn					
3/8/16	4/29/16	52	S11D31_a	a	HS	19	6	2	8	2	1	0	0	0	0			etn					
3/8/16	5/2/16	55	S11D31_a	a	HS	19	6	2	8	2	0	1	0	0	0			etn					
3/8/16	5/3/16	56	S11D31_a	a	HS	19	6	2	8	2	0	0	0	0	0			etn					
3/8/16	5/6/16	59	S11D31_a	a	HS	19	6	2	8	2	1	0	0	0	0			etn					
3/8/16	5/9/16	62	S11D31_a	a	HS	19	6	2	8	2	0	1	0	0	0			etn					
3/8/16	5/10/16	63	S11D31_a	a	HS	19	6	2	8	2	0	1	0	0	0			egk					
3/8/16	5/13/16	66	S11D31_a	a	HS	19	6	2	8	2	3	0	0	0	0			Siri					
3/8/16	5/16/16	69	S11D31_a	a	HS	19	6	2	8	2	0	0	0	0	0			etn					
3/8/16	5/17/16	70	S11D31_a	a	HS	19	6	2	8	2	1	0	0	0	0			Michael					
